model_label,capacity_regime,geometry,budget,variant,architecture,preprocessing,spatial_ranks,property_rank,property_weights,solver,outer_folds_selected
4D optimized,equal_total,grid,300,4D-B,shared-independent,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),1
4D optimized,equal_total,wells,5,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),5
4D optimized,equal_total,wells,5,4D-E,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=1e-08),4
4D optimized,equal_total,wells,5,4D-E,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=1e-06),1
4D optimized,equal_total,wells,10,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),5
4D optimized,equal_total,wells,10,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),2
4D optimized,equal_total,wells,10,4D-C,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 0.5]",ridge(alpha_relative=1e-06),2
4D optimized,equal_total,wells,10,4D-E,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=1e-06),1
4D optimized,equal_total,wells,15,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),5
4D optimized,equal_total,wells,15,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),3
4D optimized,equal_total,wells,15,4D-A,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
4D optimized,equal_total,wells,15,4D-C,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 0.5]",ridge(alpha_relative=0.0001),1
4D optimized,equal_total,wells,20,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),8
4D optimized,equal_total,wells,20,4D-A,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
4D optimized,equal_total,wells,20,4D-E,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
4D optimized,equal_total,wells,30,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),7
4D optimized,equal_total,wells,30,4D-E,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",ridge(alpha_relative=0.0001),2
4D optimized,equal_total,wells,30,4D-B,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
