method,regime,budget,placement,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_so_mean,rmse_so_median,rmse_so_sd,score_mean,score_median,score_sd,condition_mean,condition_median,condition_sd,online_seconds_per_snapshot_mean,online_seconds_per_snapshot_median,online_seconds_per_snapshot_sd,basis_seconds_mean,basis_seconds_median,basis_seconds_sd,basis_clustering_placement_seconds_mean,basis_clustering_placement_seconds_median,basis_clustering_placement_seconds_sd
POD-E,well_joint,20,dg_joint,0.15425647112413968,0.1453044851860332,0.0747405376850526,0.0005528651411667699,0.00056205684513315,0.00011849777596113443,0.4289982983388546,0.45800483438693257,0.11827779948687471,53359.84339929595,35938.269578209576,40519.165136250645,0.0005557373127844369,6.906353464591688e-07,0.0008937972427150078,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,20,dg_pressure,0.1721779952981525,0.16560791459490415,0.06396231151852111,0.00055633425807439,0.0005641813346999,0.00011207216756509667,0.43639452952633473,0.44365825246148793,0.11184656148220784,50799.835536055354,31995.991327311203,41271.178272796984,0.0005559883142897574,6.56169162594006e-07,0.0008943053526489105,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,21,condition_joint,0.13653344394608255,0.11674152838325565,0.06474970973220791,0.00055953132149831,0.0005605808540913,0.0001224738192551394,0.4234520844971629,0.42384591589117093,0.1383912883665058,26321.408694480393,23616.160459894636,8129.393233859617,0.0005581796699167488,7.1052631014902e-07,0.0008976300961800465,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,21,condition_pressure,0.1286898473758655,0.13848663828795885,0.054809356966284285,0.00057315867736256,0.0005971656271828,0.00012416791257087483,0.42760948888477923,0.41481996999644877,0.12673307157639327,34012.16437853328,29883.387340755762,16257.496801855019,0.0005941623443559348,7.131917177195332e-07,0.000960223705488599,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,21,configured,0.09559577988925663,0.0936200930891038,0.010675777376367771,0.0006512266455024599,0.00068145384322675,0.00010505165525026508,0.4565563609740989,0.5004948976495363,0.11598824819396636,335752.7921173024,330750.71480025176,62691.838080250236,0.0005645729007599237,6.743421249837383e-07,0.0009083926434802165,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,21,dg_joint,0.10361757202139277,0.11699816991565995,0.04178729005597912,0.00057583496110784,0.0005960298921920001,0.0001266393556856965,0.41491850679426695,0.3997084765717568,0.12242042555163793,33249.901596194,29573.93761706003,16712.952736629577,0.0005627650676697141,7.288496332117041e-07,0.0009051279960000546,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,21,dg_pressure,0.1286898473758773,0.13848663828801433,0.054809356966287436,0.00057315867736256,0.0005971656271828,0.00012416791257087483,0.4276094888847853,0.41481996999644877,0.12673307157640173,34012.16437853327,29883.38734075572,16257.49680185504,0.0005669305142942023,6.392556520553544e-07,0.0009120169941656308,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,22,condition_joint,0.10693014870302442,0.1160082655004579,0.04361482669370328,0.00057107583271307,0.00057844147378365,0.00012464843397151534,0.4144969937764923,0.38715156959877384,0.12814747528725867,24169.34165271893,21659.024445538293,7367.783292399556,0.0005726755932375983,5.949248014459091e-07,0.0009219951966353165,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,22,condition_pressure,0.12379969863565318,0.13669541034397764,0.05395560718701002,0.0005766423804005599,0.00060518854023865,0.0001263266972842429,0.42633783995427954,0.41487338701053644,0.12605477548728758,32176.028965564234,29140.46332771665,15008.375633439906,0.0005749027563958695,7.048834494273074e-07,0.0009253065286353107,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,well_joint,22,configured,0.09501806421418528,0.09383187732549045,0.010163309418853942,0.00064876211897799,0.00068313619012915,0.00010378764564081584,0.45458095600930637,0.49773032484517366,0.11514051509088902,258786.07478610464,256575.49717898958,69187.21611129996,0.0005878353075273312,7.805451205879086e-07,0.0009483154196723951,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
