regime,budget,metric,left,right,left_mean,right_mean,mean_delta,median_delta,left_wins,ties,wilcoxon_p,wilcoxon_p_holm
well_joint,2,rmse_so,final_accuracy,POD-E,0.00134109133070953,0.0011797610970412302,0.00016133023366830004,0.00021221227374055006,3,0,0.16015625,1.0
well_joint,2,score,final_accuracy,POD-E,1.2734665396216274,1.0713745853330179,0.20209195428860932,0.24591328935749585,2,0,0.083984375,1.0
well_joint,2,rmse_p,final_pareto,POD-E,0.8122035785281885,0.6792568069861498,0.13294677154203857,0.2134676499800478,3,0,0.10546875,1.0
well_joint,2,rmse_so,final_pareto,POD-E,0.00168368905507465,0.0011797610970412302,0.0005039279580334201,0.0002729585685894,3,0,0.10546875,1.0
well_joint,2,score,final_pareto,POD-E,1.5015917646360024,1.0713745853330179,0.4302171793029846,0.3233270158654239,2,0,0.037109375,1.0
well_joint,2,rmse_p,final_accuracy,rank_optimized_joint,0.8717804644140795,0.6989693434148627,0.17281112099921692,0.1898267054529103,2,0,0.064453125,1.0
well_joint,2,rmse_so,final_accuracy,rank_optimized_joint,0.00134109133070953,0.00123081131385233,0.00011028001685719998,0.00014069072823854993,3,0,0.431640625,1.0
well_joint,2,score,final_accuracy,rank_optimized_joint,1.2734665396216274,1.1160386759670247,0.1574278636546028,0.1831637102448917,2,0,0.130859375,1.0
well_joint,2,rmse_p,final_accuracy,original_basis_optimized_recovery,0.8717804644140795,0.8771492457894476,-0.005368781375368159,-0.039523073538742126,6,0,0.845703125,1.0
well_joint,2,rmse_so,final_accuracy,original_basis_optimized_recovery,0.00134109133070953,0.00446499302746216,-0.0031239016967526297,-0.0032195126378549,10,0,0.001953125,0.703125
well_joint,2,score,final_accuracy,original_basis_optimized_recovery,1.2734665396216274,3.2508199196158616,-1.9773533799942338,-2.0016544438627903,10,0,0.001953125,0.703125
well_joint,2,rmse_p,final_accuracy,prior+IDW,0.8717804644140795,0.9485292363850117,-0.07674877197093227,-0.07968008158105244,5,0,0.845703125,1.0
well_joint,2,rmse_so,final_accuracy,prior+IDW,0.00134109133070953,0.00228929564786153,-0.0009482043171519999,-0.0007045037505425499,7,0,0.048828125,1.0
well_joint,2,score,final_accuracy,prior+IDW,1.2734665396216274,1.792929341788663,-0.5194628021670356,-0.5024120708867476,8,0,0.037109375,1.0
well_joint,3,rmse_p,final_accuracy,POD-E,0.5251853607605401,0.4196245591038131,0.10556080165672702,0.08765756958270976,2,0,0.009765625,1.0
well_joint,3,rmse_so,final_accuracy,POD-E,0.00107386306508137,0.00087451409974248,0.00019934896533889006,0.00012049269718425004,0,0,0.001953125,0.703125
well_joint,3,score,final_accuracy,POD-E,0.9224187108298907,0.7463548012775038,0.17606390955238704,0.1246482945687043,0,0,0.001953125,0.703125
well_joint,3,rmse_p,final_pareto,POD-E,0.5198574108805252,0.4196245591038131,0.10023285177671215,0.12280011811480901,2,0,0.083984375,1.0
well_joint,3,rmse_so,final_pareto,POD-E,0.0010593647814307401,0.00087451409974248,0.00018485068168826,0.0001408031623784,0,0,0.001953125,0.703125
well_joint,3,score,final_pareto,POD-E,0.9105244304121897,0.7463548012775038,0.16416962913468608,0.15083681468965482,1,0,0.00390625,0.703125
well_joint,3,rmse_p,final_accuracy,rank_optimized_joint,0.5251853607605401,0.4705487071819876,0.054636653578552366,0.05959361853110945,2,0,0.16015625,1.0
well_joint,3,rmse_so,final_accuracy,rank_optimized_joint,0.00107386306508137,0.0009940453973187702,7.981766776260003e-05,5.8296620707800045e-05,2,0,0.064453125,1.0
well_joint,3,score,final_accuracy,rank_optimized_joint,0.9224187108298907,0.8400118755181072,0.0824068353117834,0.05724455647794163,2,0,0.064453125,1.0
well_joint,3,rmse_p,final_accuracy,original_basis_optimized_recovery,0.5251853607605401,0.7554453913857888,-0.23026003062524877,-0.20914129383905866,8,0,0.009765625,1.0
well_joint,3,rmse_so,final_accuracy,original_basis_optimized_recovery,0.00107386306508137,0.0045765731229024,-0.0035027100578210297,-0.0035487847454345497,10,0,0.001953125,0.703125
well_joint,3,score,final_accuracy,original_basis_optimized_recovery,0.9224187108298907,3.237580089194035,-2.3151613783641443,-2.4430964820457763,10,0,0.001953125,0.703125
well_joint,3,rmse_p,final_accuracy,prior+IDW,0.5251853607605401,0.6607164884866519,-0.13553112772611184,-0.16851245456473873,8,0,0.037109375,1.0
well_joint,3,rmse_so,final_accuracy,prior+IDW,0.00107386306508137,0.0023957932900410097,-0.00132193022495964,-0.0013098822569525999,8,0,0.009765625,0.99609375
