fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,wells-joint,DG-POD,10,POD,L1,0.0,0.0,0,13.675978194377185,0.023960000572015284
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,0,0.7359718701932292,0.0024842119552780178
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,0,1.162869248572227,0.001975329703981867
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,0,13.685387560405434,0.02395108836269399
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,1,0.7336841320788526,0.0024022035031230795
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,1,1.1376877888964367,0.00204630267992682
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,1,13.678226820449346,0.023939905837619867
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,2,0.7334236796178873,0.002415347571923768
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,2,1.0617608815280686,0.0019765317627110446
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,2,13.672838164931695,0.02388342221861544
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,3,0.7359451724816338,0.0025705846528432585
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,3,1.2212510586241594,0.0021495366060945696
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,3,13.675980915794934,0.024070591697972085
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,4,0.7354749494298676,0.002385189797215713
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,4,1.137710121304689,0.0021593445029225
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,4,13.678102012530067,0.02397868853624877
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,5,0.7323665019706612,0.0024898827744817757
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,5,1.1380446238066646,0.002073130674634016
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,5,13.676337163516681,0.02393803535544483
P2-run1,wells-joint,DG-POD,10,none,IDW,0.1,0.005,6,0.7342672146528295,0.002415979166680026
P2-run1,wells-joint,DG-POD,10,POD,LS,0.1,0.005,6,1.1297668503903775,0.0020132069435168072
P2-run1,wells-joint,DG-POD,10,POD,L1,0.1,0.005,6,13.680678011858458,0.02395479459114116
