protocol,fold,basis,r,R1,rmse_p,rmse_so,relerr,r_energy,seconds,storage_floats,train_rel_error,R2
P1,P1-run8,TBMD-R1sweep,7,24,1.3839828333572168,0.012068424830379565,0.0494771686159632,7,4.039944749994902,13298.0,0.06261580506462287,24.0
P1,P1-run8,TBMD-R1sweep,7,48,0.3388031180448088,0.004602406252008306,0.013986183352057693,7,0.7671878750261385,41978.0,0.014183552053011597,48.0
P1,P1-run8,TBMD-R1sweep,7,96,0.017049530883654854,0.0007920930752240178,0.0016596108785655792,7,1.014112875011051,80906.0,0.0009923599673872332,48.0
P1,P1-run8,TBMD-R1sweep,7,139,0.016761073122611752,0.0007788648789220602,0.001631900966720892,7,0.9735192079970147,115779.0,0.0009639911808192139,48.0
P1,P1-run9,prior,0,0,0.17737581515278544,0.0014490637270395481,0.006158694586491998,7,,,,
P1,P1-run9,POD,2,0,0.2389237773552027,0.006545030571615767,0.014611416631673917,7,0.05465229201945476,19800.0,,
P1,P1-run9,TBMD,2,48,0.41063042816372763,0.007903055266453447,0.01980557755160453,7,0.8078600419976283,18408.0,0.03016706953513741,
P1,P1-run9,POD,5,0,0.047679654612786365,0.0008441944256363854,0.0021967464075585527,7,0.05207537498790771,49500.0,,
P1,P1-run9,TBMD,5,48,0.33584192234643734,0.004750467839363014,0.01382467003019732,7,0.8324967080261558,32550.0,0.014493295351858733,
P1,P1-run9,POD,7,0,0.016029498209126886,0.0006970945984544709,0.0014303585950691206,7,0.09532125000259839,69300.0,,
P1,P1-run9,TBMD,7,48,0.33341709790125434,0.004733008955430644,0.013746223130345136,7,0.8132334580004681,41978.0,0.014352406034879448,
P1,P1-run9,POD,10,0,0.01903655855463994,0.00045839332722062687,0.001060629144237359,7,0.0487413750088308,99000.0,,
P1,P1-run9,TBMD,10,48,0.3335501253462607,0.0047063029347028055,0.013715173965242976,7,0.7273520000162534,56120.0,0.014332245340195029,
P1,P1-run9,POD,16,0,0.0042586513721466724,8.876842936750161e-05,0.00021598688949158197,7,0.05074904201319441,158400.0,,
P1,P1-run9,TBMD,16,48,0.3330842492501289,0.0046857606523704395,0.01367818390666604,7,0.7347667909925804,84404.0,0.014328249283606624,
P1,P1-run9,POD,20,0,0.002683143078172851,5.984547755271401e-05,0.00014214148497189457,7,0.04736858399701305,198000.0,,
P1,P1-run9,TBMD,20,48,0.3330705778484313,0.004685500244943801,0.013677534172886412,7,0.8260397500125691,103260.0,0.014328231393843491,
P1,P1-run9,POD,30,0,0.0016491049091374192,3.0427583315859277e-05,7.791115869932645e-05,7,0.040968709014123306,297000.0,,
P1,P1-run9,TBMD,30,48,0.333060275507813,0.004685234602525169,0.013676955666227746,7,0.8329755000013392,150400.0,0.014328228896448988,
P1,P1-run9,POD,50,0,0.0010457430821785474,2.3333510770360972e-05,5.5537269767087473e-05,7,0.05338341600145213,495000.0,,
P1,P1-run9,TBMD,50,48,0.33305364601397214,0.004685226200666465,0.01367679076609762,7,0.9440242909768131,244680.0,0.01432822884093857,
P1,P1-run9,TBMD-R1sweep,7,12,2.4225139280504946,0.019347845948421868,0.08359057541427592,7,0.6965128330048174,5006.0,0.10806412001168732,12.0
P1,P1-run9,TBMD-R1sweep,7,24,1.4019888734403272,0.012449254755695716,0.04949473258537441,7,3.9740249589958694,13298.0,0.0627360903000466,24.0
P1,P1-run9,TBMD-R1sweep,7,48,0.33341709790125434,0.004733008955430644,0.013746223130345136,7,0.6519636250159238,41978.0,0.014352406034879448,48.0
P1,P1-run9,TBMD-R1sweep,7,96,0.016321039620579923,0.0007137319093163864,0.0014634564749366503,7,0.9307398749806453,80906.0,0.0009323008983793467,48.0
P1,P1-run9,TBMD-R1sweep,7,139,0.016029498209125952,0.0006970945984544773,0.0014303585950691216,7,1.0918640839809086,115779.0,0.0009001030130134751,48.0
P1,P1-run10,prior,0,0,0.16887445798437614,0.0013134007276735264,0.0069554236365196535,8,,,,
P1,P1-run10,POD,2,0,0.19416254001283872,0.0058002864265184785,0.0136012946081995,8,0.04128037500777282,19800.0,,
P1,P1-run10,TBMD,2,48,0.32455896931972034,0.007049028938856155,0.018569264991631612,8,0.7593676669930574,18408.0,0.031183148502347505,
P1,P1-run10,POD,5,0,0.03274260108485682,0.0007290512804524137,0.0019023029896945915,8,0.057780625007580966,49500.0,,
P1,P1-run10,TBMD,5,48,0.2675921518054803,0.004483062162745907,0.013474122453335194,8,0.8209264579927549,32550.0,0.014133830359069304,
P1,P1-run10,POD,8,0,0.010120692038700255,0.0006703095251253585,0.00137064037339645,8,0.058499125007074326,79200.0,,
P1,P1-run10,TBMD,8,48,0.2659861669273472,0.004475057054949243,0.013417433487750298,8,0.7916665420052595,46692.0,0.013966576328669626,
P1,P1-run10,POD,10,0,0.011464638533841283,0.0002386521586873458,0.000641712327991518,8,0.04980029200669378,99000.0,,
P1,P1-run10,TBMD,10,48,0.26609740785414,0.004436304506018785,0.013370856034153064,8,0.7167519580107182,56120.0,0.0139579966871276,
P1,P1-run10,POD,16,0,0.0021073970448953366,6.552600685659614e-05,0.0001520483944892559,8,0.044510957988677546,158400.0,,
P1,P1-run10,TBMD,16,48,0.2658334986922678,0.004430569673013581,0.013355852621531251,8,0.771609666000586,84404.0,0.013954739777887347,
P1,P1-run10,POD,20,0,0.0016262421164284255,5.1053490713468775e-05,0.00011810755056194876,8,0.05766216601477936,198000.0,,
P1,P1-run10,TBMD,20,48,0.2658287191703361,0.004430458555775235,0.013355571351113961,8,0.8050077079969924,103260.0,0.013954729110549714,
P1,P1-run10,POD,30,0,0.0013774123388233593,3.0010234006216194e-05,7.919098280937572e-05,8,0.061498916998971254,297000.0,,
P1,P1-run10,TBMD,30,48,0.26582549913622866,0.0044302783887312175,0.013355246697353563,8,0.7862046659865882,150400.0,0.013954727728668903,
P1,P1-run10,POD,50,0,0.0008612719755521136,1.9588188923539745e-05,5.0860074303608145e-05,8,0.05445645801955834,495000.0,,
P1,P1-run10,TBMD,50,48,0.2658215021005648,0.004430247536309116,0.01335509106337804,8,0.9100960840005428,244680.0,0.013954727682130552,
P1,P1-run10,TBMD-R1sweep,8,12,1.950578137924524,0.019116266159203137,0.0833592223160385,8,0.7061077500111423,5400.0,0.10766023196831233,12.0
P1,P1-run10,TBMD-R1sweep,8,24,1.1147392223759642,0.012843582661207434,0.049442942982616145,8,3.99023083402426,14556.0,0.06223282416904406,24.0
P1,P1-run10,TBMD-R1sweep,8,48,0.2659861669273472,0.004475057054949243,0.013417433487750298,8,0.593596124992473,46692.0,0.013966576328669626,48.0
P1,P1-run10,TBMD-R1sweep,8,96,0.010363982991376908,0.0006847247362518452,0.0014003566886012858,8,1.0007542920066044,90228.0,0.0006893030804497427,48.0
P1,P1-run10,TBMD-R1sweep,8,139,0.0101206920386994,0.000670309525125379,0.00137064037339648,8,1.037127582996618,129229.0,0.0006425343538167261,48.0
P2,P2-run1,prior,0,0,0.7256820069435836,0.000691746734353911,0.021741274904148195,16,,,,
P2,P2-run1,POD,2,0,0.5429355636073059,0.006112682166875688,0.020771560277667467,16,2.8965431669785175,19800.0,,
P2,P2-run1,TBMD,2,48,0.6302834056135925,0.007774855337167971,0.024603208411290434,16,17.434586624993244,20590.0,0.02688046946698189,
P2,P2-run1,POD,5,0,0.18814737802612544,0.0008711727515864531,0.00583204924874703,16,2.737027917028172,49500.0,,
P2,P2-run1,TBMD,5,48,0.35038471331102805,0.004234356398599034,0.01312370332354036,16,21.712011332972907,38005.0,0.014014284151735864,
P2,P2-run1,POD,10,0,0.0812840991369457,0.0008977993683289609,0.0029876718879950997,16,3.0554754589975346,99000.0,,
P2,P2-run1,TBMD,10,48,0.3098245102652608,0.004252383259354138,0.0121895100642838,16,24.00643599999603,67030.0,0.01319391268037607,
P2,P2-run1,POD,16,0,0.053512022769414365,0.0005601749554936149,0.0019191507535612187,16,2.7228981670050416,158400.0,,
P2,P2-run1,TBMD,16,48,0.3015409232148572,0.004183771143055068,0.011918603052296311,16,25.632574915973237,101860.0,0.01309403404287587,
P2,P2-run1,POD,20,0,0.03133544749182242,0.0005043073234828017,0.0013400762890070578,16,4.536745458986843,198000.0,,
P2,P2-run1,TBMD,20,48,0.2995531565743247,0.0041778417894857535,0.011868201849622778,16,47.65923220900004,125080.0,0.013078839162857687,
P2,P2-run1,POD,30,0,0.014977204701949631,0.00038775474634152827,0.0008668590723032154,16,5.149929999985034,297000.0,,
P2,P2-run1,TBMD,30,48,0.2988455556543718,0.004168272067422293,0.011840676537575643,16,55.62526716699358,183130.0,0.013068828425667903,
P2,P2-run1,POD,50,0,0.005204574574158316,0.00021657601668289618,0.00043931324587650534,16,5.720828374993289,495000.0,,
P2,P2-run1,TBMD,50,48,0.2985920193153533,0.004158440140218057,0.011822452098608315,16,48.939179125009105,299230.0,0.013067345716407166,
P2,P2-run1,TBMD-R1sweep,16,12,2.421497484894767,0.020129811858990786,0.08064310640964746,16,46.63679116600542,26008.0,0.1064623122212802,12.0
P2,P2-run1,TBMD-R1sweep,16,24,1.3939245780097749,0.013476706114000155,0.04816886352773018,16,351.6084797499934,42076.0,0.061539010994584004,24.0
P2,P2-run1,TBMD-R1sweep,16,48,0.3015409232148572,0.004183771143055068,0.011918603052296311,16,24.867236999998568,101860.0,0.01309403404287587,48.0
P2,P2-run1,TBMD-R1sweep,16,96,0.053997033655317134,0.000570975491745879,0.0019389007130690356,16,29.77472983300686,182260.0,0.0010094253141012817,48.0
P2,P2-run1,TBMD-R1sweep,16,139,0.053512022769415545,0.0005601749554936174,0.001919150753561249,16,35.599663291999605,254285.0,0.0009600701473730582,48.0
P2,P2-run2,prior,0,0,0.5111096403933716,0.000747129353980463,0.015359381315325276,16,,,,
P2,P2-run2,POD,2,0,0.5315376962915491,0.0054134462356730546,0.019000869295841754,16,3.2083479589782655,19800.0,,
P2,P2-run2,TBMD,2,48,0.632733772170347,0.006843577254590141,0.02285596633389766,16,17.405898083001375,20590.0,0.027541719169452285,
P2,P2-run2,POD,5,0,0.14334942056624017,0.0007778311127775118,0.004505411082791022,16,2.6093227920064237,49500.0,,
P2,P2-run2,TBMD,5,48,0.3925064524510324,0.004212294768066798,0.013967727549943028,16,21.820373166992795,38005.0,0.013934727372486369,
P2,P2-run2,POD,10,0,0.07684139174062309,0.0006846539277029366,0.0025948724448688833,16,3.0683940419985447,99000.0,,
P2,P2-run2,TBMD,10,48,0.37268957820750054,0.004195702774233845,0.013449967423755411,16,25.97634058300173,67030.0,0.013042578034212129,
P2,P2-run2,POD,16,0,0.056489628918575,0.0005168760981045965,0.0019198932899695091,16,2.9216122910147533,158400.0,,
P2,P2-run2,TBMD,16,48,0.36874811103927313,0.004166301112818728,0.013332020607154254,16,27.06905750001897,101860.0,0.01294205214079851,
P2,P2-run2,POD,20,0,0.04205900700482156,0.0005001644559939586,0.0015530886806583337,16,4.938059667008929,198000.0,,
P2,P2-run2,TBMD,20,48,0.36773375123421526,0.004161081816983113,0.01330315503783808,16,53.690805666992674,125080.0,0.012928425968086073,
P2,P2-run2,POD,30,0,0.014314264204255002,0.0004067854735259884,0.0008742461823167272,16,6.205857916997047,297000.0,,
P2,P2-run2,TBMD,30,48,0.36580143175407553,0.00415274370194643,0.013248492885778774,16,59.172660832991824,183130.0,0.012919129575318487,
P2,P2-run2,POD,50,0,0.004335002917813802,0.0001984476207663758,0.00039538835994159,16,5.895753917022375,495000.0,,
P2,P2-run2,TBMD,50,48,0.36559526792363356,0.004140730249076887,0.013230399486957884,16,58.50297312499606,299230.0,0.012917544579459903,
P2,P2-run2,TBMD-R1sweep,16,12,2.5049820812625176,0.020142860623405767,0.08193692164897694,16,41.463550749991555,26008.0,0.10633511356538108,12.0
P2,P2-run2,TBMD-R1sweep,16,24,1.4454365519092764,0.01345890712906083,0.048915325730479346,16,332.86806237499695,42076.0,0.06147433601758307,24.0
P2,P2-run2,TBMD-R1sweep,16,48,0.36874811103927313,0.004166301112818728,0.013332020607154254,16,25.584233499976108,101860.0,0.01294205214079851,48.0
P2,P2-run2,TBMD-R1sweep,16,96,0.056896190581736415,0.0005266228008205955,0.001938630598205827,16,30.28579695901135,182260.0,0.0009530472531716518,48.0
P2,P2-run2,TBMD-R1sweep,16,139,0.05648962891857594,0.0005168760981045864,0.00191989328996952,16,34.85228629200719,254285.0,0.000900997651087414,48.0
P2,P2-run3,prior,0,0,1.2176595210497159,0.0006973114644613222,0.035305127279285795,16,,,,
P2,P2-run3,POD,2,0,0.47659742746220735,0.0057068973544193964,0.01765344669603911,16,2.643639374990016,19800.0,,
P2,P2-run3,TBMD,2,48,0.5830163109467991,0.007130702914574991,0.02159087698241397,16,19.913235083018662,20590.0,0.027594474446381006,
P2,P2-run3,POD,5,0,0.1314474793347057,0.0006138017327417652,0.003955173216488742,16,3.1766425000096206,49500.0,,
P2,P2-run3,TBMD,5,48,0.3526648435070223,0.0041777408630151456,0.012688307749328848,16,25.734058625006583,38005.0,0.01407270291178192,
P2,P2-run3,POD,10,0,0.07253615902010217,0.0005318817745411867,0.0023288995694249436,16,2.879042084008688,99000.0,,
P2,P2-run3,TBMD,10,48,0.3338456952270818,0.004174033150367845,0.012245018322175658,16,23.19959750000271,67030.0,0.013183388523521179,
P2,P2-run3,POD,16,0,0.035262040384072865,0.0004388877392707136,0.001305621174290978,16,3.9941177500004414,158400.0,,
P2,P2-run3,TBMD,16,48,0.32894430942317254,0.004160560790623045,0.012117810852092164,16,55.020476416975725,101860.0,0.013080460325984778,
P2,P2-run3,POD,20,0,0.030219270934757063,0.00034473870882845446,0.0010913574422348757,16,5.030669500003569,198000.0,,
P2,P2-run3,TBMD,20,48,0.3285106321039677,0.0041538602304089945,0.01210023945465327,16,57.44885591600905,125080.0,0.01306526615028339,
P2,P2-run3,POD,30,0,0.011275036826345668,0.0003167720168310263,0.0006702944637788316,16,5.696386083989637,297000.0,,
P2,P2-run3,TBMD,30,48,0.32761766706913026,0.004153116236415962,0.012079343996436693,16,50.9631276250002,183130.0,0.01305528237367839,
P2,P2-run3,POD,50,0,0.004221005074903617,0.00016589907038728279,0.0003297844140835406,16,5.175821167009417,495000.0,,
P2,P2-run3,TBMD,50,48,0.327465482453655,0.004145538056946313,0.012067174555953929,16,53.35889037500601,299230.0,0.013053667864828165,
P2,P2-run3,TBMD-R1sweep,16,12,2.527177068039769,0.02014689742982614,0.08106373239572127,16,55.77108600002248,26008.0,0.10639460751091254,12.0
P2,P2-run3,TBMD-R1sweep,16,24,1.4538251559512394,0.013447470262637325,0.04824105809596116,16,292.4399556249846,42076.0,0.06152091274334341,24.0
P2,P2-run3,TBMD-R1sweep,16,48,0.32894430942317254,0.004160560790623045,0.012117810852092164,16,22.822254583006725,101860.0,0.013080460325984778,48.0
P2,P2-run3,TBMD-R1sweep,16,96,0.03600572164690699,0.0004522312920732548,0.0013356442506303073,16,30.90419229201507,182260.0,0.0010174204164550855,48.0
P2,P2-run3,TBMD-R1sweep,16,139,0.03526204038407412,0.0004388877392707083,0.0013056211742910014,16,35.93082974999561,254285.0,0.0009680581139735559,48.0
P2,P2-run4,prior,0,0,0.5244420464371482,0.0006994927465492347,0.015697538354559854,16,,,,
P2,P2-run4,POD,2,0,0.5230435030503555,0.005071490887560501,0.018714631271882925,16,2.4764458340068813,19800.0,,
P2,P2-run4,TBMD,2,48,0.6121205442191294,0.006724568957748875,0.022440849377323876,16,19.998906791995978,20590.0,0.027523386885015964,
P2,P2-run4,POD,5,0,0.17307847840363508,0.0007083305107301788,0.005281614350044752,16,3.694762625003932,49500.0,,
P2,P2-run4,TBMD,5,48,0.36855521128260604,0.004197032564442626,0.013313055182783022,16,27.728029874997446,38005.0,0.0140200810245276,
P2,P2-run4,POD,10,0,0.09597204295889894,0.0006817285803715882,0.0030961160282204445,16,3.4461091670091264,99000.0,,
P2,P2-run4,TBMD,10,48,0.33797525713916493,0.004195530173019628,0.012580286148506818,16,26.4433835830132,67030.0,0.01315817649496375,
P2,P2-run4,POD,16,0,0.06558221336238326,0.0006261719552704644,0.002264684781156316,16,5.001798333978513,158400.0,,
P2,P2-run4,TBMD,16,48,0.3303509134178032,0.004179685245106086,0.012389022711808573,16,50.255690749996575,101860.0,0.013063050295141144,
P2,P2-run4,POD,20,0,0.04124753060298234,0.0005413112980436903,0.0015906477381955526,16,4.054911292012548,198000.0,,
P2,P2-run4,TBMD,20,48,0.3275299006628996,0.004175520654064563,0.012319871956598534,16,60.066525416012155,125080.0,0.013050239421946089,
P2,P2-run4,POD,30,0,0.021783718148652,0.0004995064435047553,0.001137767909667802,16,5.101505124999676,297000.0,,
P2,P2-run4,TBMD,30,48,0.32584509907394416,0.004170267169178574,0.012276097455347624,16,51.306283792015165,183130.0,0.013041032442667596,
P2,P2-run4,POD,50,0,0.005707566891267518,0.0003214413188595404,0.0006293823486356313,16,5.205949416005751,495000.0,,
P2,P2-run4,TBMD,50,48,0.3252874135145133,0.004154558209622693,0.012244903376881002,16,58.030677667004056,299230.0,0.013039645902949327,
