sensing,placement,N,basis,estimator,sigma_p,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std
wells-joint,DG-POD,30,POD,L1,1.0,1.0741127825676764,0.2298502521620968,0.006481815271965588,0.0013468490340759285
wells-joint,DG-POD,30,POD,L1,2.0,1.2114723777139011,0.19755689302958834,0.007601093623656627,0.0010199264597999579
wells-joint,DG-POD,30,POD,LS,0.0,0.17860573601871366,0.087050223774522,0.0007447020258177499,0.00018662571973380348
wells-joint,DG-POD,30,POD,LS,0.1,0.19545058551906144,0.07729180107589988,0.001104563314247246,0.00012395127939328785
wells-joint,DG-POD,30,POD,LS,0.5,0.3698509927086431,0.030857452318372922,0.0017917333887102409,7.199719097072905e-05
wells-joint,DG-POD,30,POD,LS,1.0,0.6706703160770868,0.01472973765033396,0.0033025356686215493,6.196669318950388e-05
wells-joint,DG-POD,30,POD,LS,2.0,1.3353516566036387,0.04630117043960131,0.007878265316603678,0.00021695746144443764
wells-joint,DG-POD,30,none,IDW,0.0,0.3126941400566623,0.16468255193055137,0.00078002906950278,0.00019747896357316864
wells-joint,DG-POD,30,none,IDW,0.1,0.3167446890915554,0.162239771882759,0.002194837835306121,8.776865912321109e-05
wells-joint,DG-POD,30,none,IDW,0.5,0.38656415010916134,0.1346491145799123,0.004127761853630533,5.6199670830784905e-05
wells-joint,DG-POD,30,none,IDW,1.0,0.5296923278543894,0.1024171898530593,0.008083099972488442,6.467340013457842e-05
wells-joint,DG-POD,30,none,IDW,2.0,0.8832060036883409,0.06418315890776052,0.020143981680495457,0.00012208237994263023
wells-joint,DG-POD-E,10,POD-E,L1,0.0,0.3514581959420976,0.09673564262412808,0.00107550761261085,0.0002016528871944541
wells-joint,DG-POD-E,10,POD-E,L1,0.1,0.355631298220021,0.09553325570745817,0.001351553085040071,0.00017509027408894604
wells-joint,DG-POD-E,10,POD-E,L1,0.5,0.42478131731940927,0.07746753586792972,0.001934063217657711,0.0001547636108476048
wells-joint,DG-POD-E,10,POD-E,L1,1.0,0.5988341665905914,0.053280576508933065,0.0033951142899665996,0.00016750865470191955
wells-joint,DG-POD-E,10,POD-E,L1,2.0,1.1847605320125223,0.06485833789332719,0.008613622305273077,0.0002799872360411808
wells-joint,DG-POD-E,10,POD-E,LS,0.0,0.7790650332824841,0.44831108359598887,0.0008222999535561499,0.00018544575830573142
wells-joint,DG-POD-E,10,POD-E,LS,0.1,1.6191804403163796,0.6627929370554569,0.001702701747165427,0.0001484765882635137
wells-joint,DG-POD-E,10,POD-E,LS,0.5,3.0017750606089093,1.385348657745927,0.003095674450339747,0.00030850208875145263
wells-joint,DG-POD-E,10,POD-E,LS,1.0,5.678960016621394,2.579186789687154,0.005934363511849036,0.0005636079893571095
wells-joint,DG-POD-E,10,POD-E,LS,2.0,14.008893017778124,6.93526162250178,0.014663149503414352,0.0015709586555971052
wells-joint,DG-POD-E,10,none,IDW,0.0,0.5802144432835887,0.2402999871536621,0.00164286826887198,0.0005283617241391171
wells-joint,DG-POD-E,10,none,IDW,0.1,0.5831930738737552,0.23899175503112158,0.002887676137265382,0.0003558120479054031
wells-joint,DG-POD-E,10,none,IDW,0.5,0.6296395231876367,0.21397688638551243,0.004914745207540152,0.0002710170506482365
wells-joint,DG-POD-E,10,none,IDW,1.0,0.7489983918363138,0.1764441515279701,0.009248041479430808,0.00024314144170772654
wells-joint,DG-POD-E,10,none,IDW,2.0,1.089185790255707,0.12074372170017082,0.022748375791600238,0.00048288474947101085
wells-joint,DG-POD-E,30,POD-E,L1,0.0,0.1900949654229806,0.03289956667563287,0.0008692704337590399,0.00012304666306709247
wells-joint,DG-POD-E,30,POD-E,L1,0.1,0.19203001527328517,0.03251193245261581,0.00106666324655197,0.00011463488076278516
wells-joint,DG-POD-E,30,POD-E,L1,0.5,0.23679964315465218,0.03218967415759325,0.001507880517096108,9.516905629282394e-05
wells-joint,DG-POD-E,30,POD-E,L1,1.0,0.35541182119742165,0.02816516298429792,0.0026224350539661516,6.814926831403097e-05
wells-joint,DG-POD-E,30,POD-E,L1,2.0,0.7277202892260648,0.019879864299276524,0.006519552205302671,0.00010321854941300148
wells-joint,DG-POD-E,30,POD-E,LS,0.0,0.17860573601870794,0.08705022377452201,0.00074470202581774,0.00018662571973378957
wells-joint,DG-POD-E,30,POD-E,LS,0.1,0.19549037210869896,0.07677497893558664,0.001098329670214139,0.00012159352049304095
wells-joint,DG-POD-E,30,POD-E,LS,0.5,0.37157931303799296,0.033768826932009,0.001798667954223157,7.621199738680122e-05
wells-joint,DG-POD-E,30,POD-E,LS,1.0,0.6672151767098828,0.012848338110917906,0.0032991997440269746,5.8385929315602124e-05
wells-joint,DG-POD-E,30,POD-E,LS,2.0,1.3328033282342662,0.035338439379991246,0.007891161040482866,0.00024332908984409262
wells-joint,DG-POD-E,30,none,IDW,0.0,0.3126941400566623,0.16468255193055137,0.00078002906950278,0.00019747896357316864
wells-joint,DG-POD-E,30,none,IDW,0.1,0.31696113089891176,0.1622583654146541,0.002190431766304555,8.999232250100774e-05
wells-joint,DG-POD-E,30,none,IDW,0.5,0.386699396186029,0.13427199515161065,0.004113260374296302,4.10733524906562e-05
wells-joint,DG-POD-E,30,none,IDW,1.0,0.5311937303291516,0.10221912131919308,0.008107528844964906,3.746539341504042e-05
wells-joint,DG-POD-E,30,none,IDW,2.0,0.8799435436840424,0.06413642093153214,0.020152659415769034,0.000146008052954384
wells-joint,DG-TBMD,10,TBMD,L1,0.0,0.6363513011479408,0.12773520884687734,0.00435302956830247,6.295845891237643e-05
wells-joint,DG-TBMD,10,TBMD,L1,0.1,0.6378332126482348,0.12674363484625129,0.004441703354201904,6.290645399409591e-05
wells-joint,DG-TBMD,10,TBMD,L1,0.5,0.66421113064256,0.10370506757444847,0.004702772664047765,5.4302072165562354e-05
wells-joint,DG-TBMD,10,TBMD,L1,1.0,0.7699321680299733,0.0729307300789547,0.005599003700029228,5.851137146800968e-05
wells-joint,DG-TBMD,10,TBMD,L1,2.0,1.248276864256428,0.05269378364134109,0.009942394921925847,0.00013016019786970187
wells-joint,DG-TBMD,10,TBMD,LS,0.0,1.2664344286548657,0.37841288640183096,0.00450806569856433,0.00018318979171026765
wells-joint,DG-TBMD,10,TBMD,LS,0.1,1.5703253964089088,0.4285675550761603,0.004810142700015204,0.00018195871930967044
wells-joint,DG-TBMD,10,TBMD,LS,0.5,2.3790529636822297,0.7645697849874813,0.005625486752393819,0.00019297764040802925
wells-joint,DG-TBMD,10,TBMD,LS,1.0,4.226534105020239,1.4927016196578928,0.008034692594996938,0.00033247307344222795
wells-joint,DG-TBMD,10,TBMD,LS,2.0,9.839787652986313,3.814608473193197,0.016925970485421143,0.0007766279931591819
wells-joint,DG-TBMD,10,none,IDW,0.0,0.5472171289430443,0.24940604309134762,0.0015546010175875899,0.0005118499929190162
wells-joint,DG-TBMD,10,none,IDW,0.1,0.5500708649687406,0.24774055210370893,0.0028174251630460113,0.0003319436417914419
wells-joint,DG-TBMD,10,none,IDW,0.5,0.6034845434879006,0.22109100753724356,0.004859816299521068,0.00020314907520826186
wells-joint,DG-TBMD,10,none,IDW,1.0,0.7250784375181318,0.1845889645842152,0.009307557440155507,0.00015912497923764997
wells-joint,DG-TBMD,10,none,IDW,2.0,1.0804055960106063,0.1303660110286183,0.02287216342721583,0.0004218862748431241
wells-joint,DG-TBMD,30,TBMD,L1,0.0,0.4323187181504916,0.06033738423636444,0.00425074497419094,2.365316418593749e-05
wells-joint,DG-TBMD,30,TBMD,L1,0.1,0.43372160855794667,0.05994575457828838,0.004303033638569147,2.45240200343691e-05
wells-joint,DG-TBMD,30,TBMD,L1,0.5,0.45324285212157445,0.05741895248893677,0.004464611186717865,2.628297760196868e-05
wells-joint,DG-TBMD,30,TBMD,L1,1.0,0.5259342878345319,0.05113788852097763,0.005028026289583754,4.0800150129658775e-05
wells-joint,DG-TBMD,30,TBMD,L1,2.0,0.8291852145244512,0.036140219054157534,0.008099540793708972,9.080034848562611e-05
wells-joint,DG-TBMD,30,TBMD,LS,0.0,0.43230391496112947,0.049770537717865146,0.00424163912217312,3.177363223125108e-05
wells-joint,DG-TBMD,30,TBMD,LS,0.1,0.4404259066662455,0.048591304635655724,0.004336134175613341,3.293916468428147e-05
wells-joint,DG-TBMD,30,TBMD,LS,0.5,0.5402352108372634,0.04024698722094352,0.00464113983552562,4.573703317924883e-05
wells-joint,DG-TBMD,30,TBMD,LS,1.0,0.7655062895757261,0.03160807833471875,0.005620241897141311,7.02401401707859e-05
wells-joint,DG-TBMD,30,TBMD,LS,2.0,1.3712152880890722,0.034286448972163056,0.009831792481575596,0.00015612727883753077
wells-joint,DG-TBMD,30,none,IDW,0.0,0.3126941400566623,0.1646825519305514,0.00078002906950278,0.00019747896357316864
wells-joint,DG-TBMD,30,none,IDW,0.1,0.31693267759907673,0.16232888091489614,0.002192484341624727,8.652341183280199e-05
wells-joint,DG-TBMD,30,none,IDW,0.5,0.38716598321414886,0.13465628380975042,0.004120982767375754,6.263843084668891e-05
wells-joint,DG-TBMD,30,none,IDW,1.0,0.5291320294987545,0.10233305421997069,0.008103242931794884,5.543327037390643e-05
wells-joint,DG-TBMD,30,none,IDW,2.0,0.8814374700714371,0.06350493400208063,0.020211201910437536,0.00012719266700385808
wells-joint,configured,10,POD,L1,0.0,4.223934682250305,0.8722484248830296,0.02984992298639639,0.003849173615517878
wells-joint,configured,10,POD,L1,0.1,4.226680088764221,0.8716716534610923,0.029862293432001103,0.0038367469978079893
wells-joint,configured,10,POD,L1,0.5,4.245489740445485,0.8736249891231005,0.029928801942613048,0.003786424840966623
wells-joint,configured,10,POD,L1,1.0,4.315002066206543,0.8763735438650718,0.030160747206129546,0.0036327833610927474
wells-joint,configured,10,POD,L1,2.0,4.643907197029323,0.9019227428760703,0.03130644960508493,0.003433654390899141
wells-joint,configured,10,POD,LS,0.0,2.4975836702910192,1.5455925261151287,0.0027874692679099498,0.0015167766097249717
wells-joint,configured,10,POD,LS,0.1,43.908213086013376,16.397346588339396,0.05658714276495731,0.03052977499797169
wells-joint,configured,10,POD,LS,0.5,95.02352152236907,32.35563813452827,0.12039760457405908,0.0614726112114238
wells-joint,configured,10,POD,LS,1.0,187.96666085852257,62.68631965025154,0.23862218620488695,0.11914750423389815
wells-joint,configured,10,POD,LS,2.0,458.15822051266423,156.9939204166656,0.578920257738285,0.29180097997445226
wells-joint,configured,10,POD-E,L1,0.0,0.3136446083134298,0.07040514356467807,0.00179451414764349,0.0001273660481191814
wells-joint,configured,10,POD-E,L1,0.1,0.31703318942280534,0.06822689899982975,0.0020346884668760437,9.853252883469206e-05
wells-joint,configured,10,POD-E,L1,0.5,0.3849090550991889,0.05540338940891359,0.002695709522597303,9.327033116784375e-05
wells-joint,configured,10,POD-E,L1,1.0,0.5468234510790545,0.05303970406550579,0.00472323790619463,0.0001412468673341167
wells-joint,configured,10,POD-E,L1,2.0,1.0688197663981112,0.05392406445778924,0.012071167830518339,0.00029210173084294304
wells-joint,configured,10,POD-E,LS,0.0,2.4975836702904557,1.5455925261145502,0.00278746926790986,0.0015167766097248922
wells-joint,configured,10,POD-E,LS,0.1,43.908213086018186,16.397346588347233,0.05658714276496415,0.030529774997981537
wells-joint,configured,10,POD-E,LS,0.5,95.02352152237849,32.355638134544,0.12039760457407242,0.06147261121144296
