fold,basis,sensing,N,epsilon,admm_iter,rmse_p,rmse_so
P2-run3,POD-E,wells-joint,5,0.01,350,0.33922837676546846,0.00182109277778744
P2-run3,POD-E,wells-joint,5,0.1,650,0.7353356069330872,0.0035836332215622504
P2-run3,POD-E,wells-joint,5,0.0,0,0.25859270068342755,0.0004810558630897401
P2-run3,POD-E,wells-joint,10,0.0001,4670,0.28723462152113916,0.0007133510025660495
P2-run3,POD-E,wells-joint,10,0.001,2230,0.23020098389567736,0.000665906093319023
P2-run3,POD-E,wells-joint,10,0.01,280,0.27576526094660736,0.0008247009232002598
P2-run3,POD-E,wells-joint,10,0.1,1230,0.6071440853214747,0.00275292709383255
P2-run3,POD-E,wells-joint,10,0.0,0,0.3739795100331931,0.0007938386823192653
P2-run3,POD-E,wells-joint,30,0.0001,410,0.07346274693751975,0.0004805311345371353
P2-run3,POD-E,wells-joint,30,0.001,360,0.09695536061053307,0.00045844732537401176
P2-run3,POD-E,wells-joint,30,0.01,270,0.17775153050518985,0.0007338858800699848
P2-run3,POD-E,wells-joint,30,0.1,2280,0.34768195942612523,0.0024262445625511885
P2-run3,POD-E,wells-joint,30,0.0,0,0.07842494750200918,0.00048813034121959054
P2-run3,TBMD,grid,10,0.0001,5000,0.46734062918057157,0.006574513690495318
P2-run3,TBMD,grid,10,0.001,1380,0.4458162393686806,0.006593018413296595
P2-run3,TBMD,grid,10,0.01,340,0.43434257947400234,0.006597202088955764
P2-run3,TBMD,grid,10,0.1,860,0.7496040658876867,0.0060989206237078205
P2-run3,TBMD,grid,10,0.0,0,0.4673303006228378,0.0065833162556024685
P2-run3,TBMD,grid,30,0.0001,560,0.38850120706019864,0.004693449652095143
P2-run3,TBMD,grid,30,0.001,550,0.37987195744359387,0.004635345943162339
P2-run3,TBMD,grid,30,0.01,1020,0.387410443429364,0.0046029361985562185
P2-run3,TBMD,grid,30,0.1,1610,0.5795092275439353,0.005259231267988259
P2-run3,TBMD,grid,30,0.0,0,0.3898876734158998,0.0047014485510396995
P2-run3,TBMD,grid,100,0.0001,180,0.3464029743801685,0.004429334178440183
P2-run3,TBMD,grid,100,0.001,170,0.34550462085748246,0.0044257274566471706
P2-run3,TBMD,grid,100,0.01,110,0.3589541852897795,0.004437932316716202
P2-run3,TBMD,grid,100,0.1,3920,0.4303525766351002,0.004939587560609829
P2-run3,TBMD,grid,100,0.0,0,0.3466047678254955,0.0044293294394762775
P2-run3,TBMD,wells-joint,5,0.0001,5000,0.5071932150632488,0.004296134122786797
P2-run3,TBMD,wells-joint,5,0.001,2520,0.48974454350504226,0.0042367224631660125
P2-run3,TBMD,wells-joint,5,0.01,380,0.5191967721675852,0.004562540406832335
P2-run3,TBMD,wells-joint,5,0.1,750,0.8574041057516372,0.005225668207971322
P2-run3,TBMD,wells-joint,5,0.0,0,0.6234142743173908,0.004319225268815129
P2-run3,TBMD,wells-joint,10,0.0001,5000,0.6418757480216059,0.0042975009760920085
P2-run3,TBMD,wells-joint,10,0.001,3420,0.5128020668303624,0.0042472544079222435
P2-run3,TBMD,wells-joint,10,0.01,180,0.5309720947055593,0.004295108897597888
P2-run3,TBMD,wells-joint,10,0.1,1310,0.7396765079011849,0.0049480776587246976
P2-run3,TBMD,wells-joint,10,0.0,0,0.8257479392492014,0.004332722586032973
P2-run3,TBMD,wells-joint,30,0.0001,670,0.4144248928538108,0.0041999685196572965
P2-run3,TBMD,wells-joint,30,0.001,580,0.39136324907429987,0.004187528814016237
P2-run3,TBMD,wells-joint,30,0.01,1570,0.3981809881833491,0.004211521859567714
P2-run3,TBMD,wells-joint,30,0.1,2180,0.5199964523751535,0.0048711556717416305
P2-run3,TBMD,wells-joint,30,0.0,0,0.4207158014329958,0.004202478569135357
P2-run4,POD,grid,10,0.0001,5000,29.429174150410617,0.2581707885530809
P2-run4,POD,grid,10,0.001,5000,30.62352310738078,0.25279723136225235
P2-run4,POD,grid,10,0.01,5000,31.218798733276493,0.2534206922209944
P2-run4,POD,grid,10,0.1,1460,29.909087069506704,0.2658439932935991
P2-run4,POD,grid,10,0.0,0,29.300681739447235,0.25878622338448504
P2-run4,POD,grid,30,0.0001,5000,0.22807980618801332,0.0008079406089863122
P2-run4,POD,grid,30,0.001,5000,0.41609956662773423,0.002504425769825874
