protocol,fold,test_run,rank,sensing,placement,seed,N,basis,estimator,rmse_p,rmse_so,relerr,maxabs_p,noise_sd_bar,m,cond,sec_per_snapshot,admm_iter
P2,P2-run6,6,16,grid,random,20260935,75,POD-E,LS,0.33941954404359204,0.0010071178109624305,0.01003386027099737,5.109024588343294,0.0,75.0,15769.169669802783,7.200496195976559e-06,
P2,P2-run6,6,16,grid,random,20260935,75,POD-E,L1,0.24407901106727958,0.0012979109284364733,0.007457946139959347,2.3568751780554913,0.0,75.0,,4.366666924985672e-05,130.0
P2,P2-run6,6,16,grid,random,20260935,75,TBMD,LS,0.6557158159019303,0.005732324222515384,0.021570098157039367,5.799444379637986,0.0,75.0,12557.463683775708,1.6575865622581843e-06,
P2,P2-run6,6,16,grid,random,20260935,75,TBMD,L1,0.41240014341636466,0.005047867722839141,0.01504307388614838,5.110250701484096,0.0,75.0,,0.0002454031955562812,630.0
P2,P2-run6,6,16,grid,random,20260935,100,none,IDW,0.2988430397374296,0.0007203661224662497,0.008685758869643224,2.0092205489509354,0.0,100.0,,,
P2,P2-run6,6,16,grid,random,20260935,100,POD,LS,0.21568900689688383,0.0009557156080646307,0.006504070098138008,3.681642927798907,0.0,100.0,9.358203400456462,4.600563928610961e-06,
P2,P2-run6,6,16,grid,random,20260935,100,POD,L1,0.7932265453791715,0.004998180080099248,0.026252319251866094,2.141872941623741,0.0,100.0,,0.002892305759390942,2880.0
P2,P2-run6,6,16,grid,random,20260935,100,POD-E,LS,0.2156890068969018,0.0009557156080645939,0.006504070098138465,3.681642927799131,0.0,100.0,4614.592247673101,3.393421048487544e-05,
P2,P2-run6,6,16,grid,random,20260935,100,POD-E,L1,0.22143627144435163,0.001118551332869464,0.006727125625372909,2.2811155878088556,0.0,100.0,,3.3787593921240334e-05,80.0
P2,P2-run6,6,16,grid,random,20260935,100,TBMD,LS,0.49646248848846164,0.004861969375191412,0.016765948856299787,5.322176726687736,0.0,100.0,6048.589071094093,2.0974362531634872e-06,
P2,P2-run6,6,16,grid,random,20260935,100,TBMD,L1,0.39631254113538245,0.004689751998277339,0.01424801363428185,5.120924208834626,0.0,100.0,,0.0003162894736716342,110.0
P2,P2-run6,6,16,grid,random,20260935,150,none,IDW,0.2719450009938079,0.0006530773376319959,0.007897461696603186,1.8273557946062677,0.0,150.0,,,
P2,P2-run6,6,16,grid,random,20260935,150,POD,LS,0.18834404552534786,0.000988573238626209,0.0057452296198063895,3.2338760908113415,0.0,150.0,7.184996218822232,2.9041353504600604e-06,
P2,P2-run6,6,16,grid,random,20260935,150,POD,L1,0.5832010834221086,0.00456566249181469,0.01962395441324067,1.9794716523438602,0.0,150.0,,0.0008170529473502945,1390.0
P2,P2-run6,6,16,grid,random,20260935,150,POD-E,LS,0.188344045525351,0.0009885732386262956,0.005745229619806521,3.2338760908114135,0.0,150.0,4115.376976660411,5.154450961451669e-06,
P2,P2-run6,6,16,grid,random,20260935,150,POD-E,L1,0.18108066954558058,0.0009435258246143672,0.005507750904021377,2.020125599871409,0.0,150.0,,0.0008275169173266066,1230.0
P2,P2-run6,6,16,grid,random,20260935,150,TBMD,LS,0.407741917201674,0.004672427377935838,0.014478327212933772,5.010754511108598,0.0,150.0,4282.596115234918,3.5159775192492214e-06,
P2,P2-run6,6,16,grid,random,20260935,150,TBMD,L1,0.36975289906067604,0.004636968653018502,0.01357482886174455,5.017778972226025,0.0,150.0,,0.00010120269165836499,220.0
P2,P2-run6,6,16,grid,random,20260935,200,none,IDW,0.27158887418145666,0.0006712164401407879,0.007894910928729197,1.8418569232904505,0.0,200.0,,,
P2,P2-run6,6,16,grid,random,20260935,200,POD,LS,0.1597807199760646,0.0009073268726055783,0.004917477516872053,2.854748652755485,0.0,200.0,6.203405227064629,7.288849735772587e-06,
P2,P2-run6,6,16,grid,random,20260935,200,POD,L1,0.5016084301072172,0.003963046556602454,0.016604048470363064,2.0513990326527143,0.0,200.0,,0.0006384899773235832,960.0
P2,P2-run6,6,16,grid,random,20260935,200,POD-E,LS,0.1597807199760304,0.0009073268726054963,0.004917477516871074,2.854748652755014,0.0,200.0,4140.075116076668,2.930766887108522e-06,
P2,P2-run6,6,16,grid,random,20260935,200,POD-E,L1,0.17546709595897286,0.0008838726736859313,0.0053219299279177856,2.0065829529533694,0.0,200.0,,0.00014354605262720943,90.0
P2,P2-run6,6,16,grid,random,20260935,200,TBMD,LS,0.35635036460150127,0.004346559559433658,0.012938611784371593,4.978325741437814,0.0,200.0,4861.127429121775,6.2233683499122476e-06,
P2,P2-run6,6,16,grid,random,20260935,200,TBMD,L1,0.3676219790205087,0.004400132188540339,0.013256993806996933,5.011050437535078,0.0,200.0,,0.0016150892857913824,1970.0
P2,P2-run6,6,16,grid,random,20260935,300,none,IDW,0.25466748348330853,0.0006518967829090187,0.0074049863465759135,1.8273148390501897,0.0,300.0,,,
P2,P2-run6,6,16,grid,random,20260935,300,POD,LS,0.07651649683699233,0.0007038446345093009,0.0025867510410714964,1.0932705330584886,0.0,300.0,4.587075295901614,8.357268420251129e-05,
P2,P2-run6,6,16,grid,random,20260935,300,POD,L1,0.38789541495170254,0.0033437805738871992,0.013044395641385327,2.105599315675062,0.0,300.0,,0.0008008778193716968,730.0
P2,P2-run6,6,16,grid,random,20260935,300,POD-E,LS,0.07651649683699366,0.000703844634509277,0.0025867510410714934,1.0932705330584673,0.0,300.0,2830.2540566194293,4.128127794754796e-06,
P2,P2-run6,6,16,grid,random,20260935,300,POD-E,L1,0.15862644059845984,0.0008491239711189961,0.004842543907224173,1.9430709246989,0.0,300.0,,5.2090849564585806e-05,90.0
P2,P2-run6,6,16,grid,random,20260935,300,TBMD,LS,0.34267813211466736,0.004375899488023895,0.012663901339956474,5.048399396503182,0.0,300.0,3635.2902790154435,4.896616407396986e-06,
P2,P2-run6,6,16,grid,random,20260935,300,TBMD,L1,0.36003398184578156,0.004391859334875763,0.013074808163961914,4.985836566505076,0.0,300.0,,0.0003159940452840095,170.0
P2,P2-run6,6,16,grid,random,20260936,2,none,IDW,0.6819757413853613,0.0010105141902353053,0.019674637317948968,2.732166635079464,0.0,2.0,,,
P2,P2-run6,6,16,grid,random,20260936,2,POD,LS,26.92407965663698,0.19583940913048717,0.8493513366835719,53.722125267500104,0.0,2.0,1.5661782453425437,6.641653853055454e-07,
P2,P2-run6,6,16,grid,random,20260936,2,POD,L1,16.7163502501574,0.14319870495954481,0.5454279663927146,25.01646152800273,0.0,2.0,,0.003194240285775141,5000.0
P2,P2-run6,6,16,grid,random,20260936,2,POD-E,LS,0.8301772656918318,0.0033035582807066865,0.025134836935511242,3.918084069756608,0.0,2.0,20.11666854412965,5.435781935019825e-06,
P2,P2-run6,6,16,grid,random,20260936,2,POD-E,L1,0.8983482162330676,0.003542137617437149,0.027452198841979743,3.641009802996654,0.0,2.0,,3.075469906714962e-05,60.0
P2,P2-run6,6,16,grid,random,20260936,2,TBMD,LS,0.9791196548805169,0.005397875024375243,0.03034698622734427,7.083786597629222,0.0,2.0,20.127867231079634,4.7212014941120504e-07,
P2,P2-run6,6,16,grid,random,20260936,2,TBMD,L1,1.0393073778101483,0.00555652211387745,0.03249058467089734,7.200940958564263,0.0,2.0,,4.144266897224282e-05,60.0
