protocol,fold,model,estimator,wells,channels,joint_rank,rank_pressure,rank_so,coefficients,rmse_p,rmse_so,admm_iterations
P2,P2-run5,independent-per-property,L1,10,20,16,16,16,32,0.2778779349356953,0.0017289063897699256,280
P2,P2-run5,joint-4D,LS,30,60,16,16,16,16,0.42665301059381666,0.00423716788457991,0
P2,P2-run5,joint-4D,L1,30,60,16,16,16,16,0.4379159448727795,0.00423699278156202,260
P2,P2-run5,independent-equal-total,LS,30,60,16,8,8,16,0.26173908378727717,0.0006007997039450375,0
P2,P2-run5,independent-equal-total,L1,30,60,16,8,8,16,0.24638341552947063,0.000761824001289341,110
P2,P2-run5,independent-per-property,LS,30,60,16,16,16,32,0.3604605929610633,0.0015754104971811972,0
P2,P2-run5,independent-per-property,L1,30,60,16,16,16,32,0.247617791204207,0.0007622778186465791,260
P2,P2-run6,joint-4D,LS,10,20,16,16,16,16,7.284469427860583,0.012964859142770315,0
P2,P2-run6,joint-4D,L1,10,20,16,16,16,16,0.4902126954426403,0.004872702646392067,400
P2,P2-run6,independent-equal-total,LS,10,20,16,8,8,16,2.0236358044879688,0.002969897930115723,0
P2,P2-run6,independent-equal-total,L1,10,20,16,8,8,16,0.4355785864518539,0.001735466239441676,250
P2,P2-run6,independent-per-property,LS,10,20,16,16,16,32,0.37129476791833205,0.0013788406482466093,0
P2,P2-run6,independent-per-property,L1,10,20,16,16,16,32,0.43569731511526777,0.0017332433274704678,250
P2,P2-run6,joint-4D,LS,30,60,16,16,16,16,0.39154704251009564,0.004252609662687268,0
P2,P2-run6,joint-4D,L1,30,60,16,16,16,16,0.4206512209881135,0.004268655884701807,230
P2,P2-run6,independent-equal-total,LS,30,60,16,8,8,16,0.35567460167564574,0.00076786206777446,0
P2,P2-run6,independent-equal-total,L1,30,60,16,8,8,16,0.22780807820248397,0.0009320805533774083,780
P2,P2-run6,independent-per-property,LS,30,60,16,16,16,32,0.3885839682089005,0.0011931643701976824,0
P2,P2-run6,independent-per-property,L1,30,60,16,16,16,32,0.22787102103351722,0.0009324581435447527,780
P2,P2-run7,joint-4D,LS,10,20,16,16,16,16,8.279142016837094,0.017854363775922283,0
P2,P2-run7,joint-4D,L1,10,20,16,16,16,16,0.4363847005442536,0.004737812729232021,170
P2,P2-run7,independent-equal-total,LS,10,20,16,8,8,16,1.8456417845425337,0.002826747777636083,0
P2,P2-run7,independent-equal-total,L1,10,20,16,8,8,16,0.31741309298488407,0.0016624868222175578,40
